"Species"	"Nutrient"	"n"	"conc_mg_g_dw_min"	"conc_mg_g_dw_low_quant"	"conc_mg_g_dw_mean"	"conc_mg_g_dw_high_quant"	"conc_mg_g_dw_max"
"1"	"Arctozenus risso"	"As"	2	1.2583879525593	1.25910239965756	1.27267689452442	1.28625138939128	1.28696583648954
"2"	"Arctozenus risso"	"Ca"	2	18541.7957840774	18560.1399831865	18908.6797662584	19257.2195493304	19275.5637484395
"3"	"Arctozenus risso"	"Co"	2	0.0812961475190329	0.0814387594365502	0.0841483858693791	0.086858012302208	0.0870006242197253
"4"	"Arctozenus risso"	"Cu"	2	10.2664637952559	10.2778882021344	10.4949519328244	10.7120156635145	10.7234400703929
"5"	"Arctozenus risso"	"Fe"	2	155.495084269663	157.957462318054	204.742645237475	251.527828156897	253.990206205287
"6"	"Arctozenus risso"	"K"	2	12854.3558832709	12864.2781178315	13052.8005744829	13241.3230311343	13251.2452656949
"7"	"Arctozenus risso"	"Mg"	2	3155.07178526841	3160.40747007356	3261.78548137134	3363.16349266913	3368.49917747427
"8"	"Arctozenus risso"	"Mn"	2	3.32592072409488	3.34085411691106	3.62458858041846	3.90832304392585	3.92325643674203
"9"	"Arctozenus risso"	"Na"	2	18497.4272160373	18501.7465684079	18583.8142634494	18665.8819584908	18670.2013108614
"10"	"Arctozenus risso"	"Ni"	2	0.786755422931252	0.788485569817397	0.821358360654141	0.854231151490884	0.855961298377029
"11"	"Arctozenus risso"	"P"	2	17647.4559087953	17663.9543874019	17977.425480927	18290.8965744521	18307.3950530587
"12"	"Arctozenus risso"	"Se"	2	3.64583333333333	3.64913449491182	3.71185656490302	3.77457863489422	3.7778797964727
"13"	"Arctozenus risso"	"Zn"	2	65.4845250392134	65.5746474001245	67.2869722574344	68.9992971147444	69.0894194756554
"14"	"Bathydraco antarcticus"	"As"	5	2.18100285364859	3.0787711808355	9.73736567874224	12.0592090801979	12.1051171271156
"15"	"Bathydraco antarcticus"	"Ca"	5	21771.0734926586	22028.6337877702	33387.2121490604	54094.1280562821	56290.0997065091
"16"	"Bathydraco antarcticus"	"Co"	5	0.0892299281474539	0.0899387082923978	0.11544391615614	0.156372137657587	0.160213886543642
"17"	"Bathydraco antarcticus"	"Cu"	5	4.82466416744767	4.87175339685048	6.31525449680314	8.47630994071925	8.63881615488376
"18"	"Bathydraco antarcticus"	"Fe"	5	30.6746840603343	32.2370188408051	63.9934393829896	97.6830711344264	98.9305672817915
"19"	"Bathydraco antarcticus"	"K"	5	10819.3742356298	10908.230509349	11733.6773316702	12402.7278115794	12458.4622708879
"20"	"Bathydraco antarcticus"	"Mg"	5	1658.13417681974	1665.0372287668	1873.71018522006	2220.04601927875	2251.68857797612
"21"	"Bathydraco antarcticus"	"Mn"	5	2.61441736957201	2.68255667030953	4.06706848027431	5.53709335065017	5.60447071121296
"22"	"Bathydraco antarcticus"	"Na"	5	8654.58214431309	8717.76634631414	9916.9098977045	11507.9518331897	11601.4413219153
"23"	"Bathydraco antarcticus"	"Ni"	5	0.909271076935273	0.912923788048369	1.15386319636631	1.52358506564454	1.55650705584369
"24"	"Bathydraco antarcticus"	"P"	5	16277.0345204624	16490.8529281807	22953.9828845385	33815.6602051262	35003.5962690468
"25"	"Bathydraco antarcticus"	"Se"	5	1.95046881369751	1.99542351780479	2.65680515654038	3.4122528112892	3.4676154866723
"26"	"Bathydraco antarcticus"	"Zn"	5	54.1061387066542	55.0368721342511	65.6060938742174	79.8975258462892	81.5747750604463
"27"	"Bathylagus tenuis"	"As"	11	2.05678104575163	2.08082485886385	3.91082761033156	5.52777839664119	5.5748853392377
"28"	"Bathylagus tenuis"	"Ca"	11	4149.42502387775	4268.83820770764	9723.13666682769	20751.3609340346	21787.4497911311
"29"	"Bathylagus tenuis"	"Co"	11	0.0223495702005731	0.0236666544552504	0.0507023755695851	0.0950189067486564	0.0982085475578406
"30"	"Bathylagus tenuis"	"Cu"	11	2.52616941558191	2.65359243678948	5.81824996414093	11.669652170307	12.8876124678663
"31"	"Bathylagus tenuis"	"Fe"	11	12.2754837962069	13.3616086665532	35.686844355542	86.9513672644901	98.5849796174349
"32"	"Bathylagus tenuis"	"K"	11	7696.35483611825	7720.06484032398	8986.52899797174	11592.5772935689	11742.3843374898
"33"	"Bathylagus tenuis"	"Mg"	11	1042.30563514804	1079.47006223727	1894.35535263743	3462.44152044408	3612.70686053985
"34"	"Bathylagus tenuis"	"Mn"	11	0.911197806018	0.912808889630557	1.69530825420798	3.29695848455063	3.3047385620915
"35"	"Bathylagus tenuis"	"Na"	11	7132.73011703812	7366.11158013771	11766.6194167984	17339.9796231659	17507.6518316195
"36"	"Bathylagus tenuis"	"Ni"	11	0.22712511938873	0.255513158186998	0.645134003884296	1.43510882662909	1.58278438303342
"37"	"Bathylagus tenuis"	"P"	11	6621.51671442216	6763.0297807999	10088.3540493009	16385.4005906401	17116.9264138817
"38"	"Bathylagus tenuis"	"Se"	11	1.42292263610315	1.45478604062251	2.01072920498119	2.54962128815232	2.5533082470994
"39"	"Bathylagus tenuis"	"Zn"	11	21.3295128939828	22.293727818156	48.101303763957	88.3553057986826	89.1408258354756
"40"	"Champsocephalus gunnari"	"As"	10	6.52803682685821	6.56725813302009	9.47690752178801	13.8499277933834	14.5656758585015
"41"	"Champsocephalus gunnari"	"Ca"	10	9729.28841727461	10566.3741032077	19859.4934556279	37357.6797904754	39659.6752790571
"42"	"Champsocephalus gunnari"	"Co"	10	0.0462294698240549	0.0483806405801286	0.0766091860230547	0.124098268512975	0.125907213601187
